source,target
528389,528447
528389,528451
528389,528452
528389,528455
528389,529011
528389,529671
528389,254304
528389,496458
528389,418989
528389,9217
528389,528453
528389,98564
528389,529657
528389,105073
528389,421305
528389,2079
528389,528445
68567,1084322
1074934,254015
579520,468939
489388,1084003
489388,525249
489388,178431
416263,199516
416263,1081086
416263,1086951
506556,258453
417589,1067279
498346,574034
93797,223478
1085256,1085258
268356,1085493
542029,1085258
542029,542030
542029,561457
542029,1085247
542029,542031
542029,542032
542029,542162
542029,1087363
542029,541951
542111,94646
466092,458780
466092,409775
455652,1052121
302158,98943
302158,240694
302158,99415
1087286,1087333
1087286,1087329
1087286,465919
1087286,1087326
218402,1083396
218402,461839
218402,1083397
218402,169598
574226,568630
203985,85194
1086555,94799
1955,1049796
1955,1005029
1955,1005061
1955,1005030
1955,542169
518747,521689
177350,48224
118617,456389
507187,31480
139829,501168
139829,129698
1088509,1088511
1088509,1088512
1088509,1088510
1088613,1088542
1088613,1088554
1088613,1088503
1088614,1088615
1088614,1088547
1088614,1088542
1088614,1088503
1088541,1088542
1088541,1088503
1088618,1088625
1088618,1088624
1088618,1088623
1088618,1088622
1088618,1088621
1088618,1088620
1088618,1088619
1088618,1088595
1088543,1088511
1088543,1088593
1088543,1088563
1088543,1088590
1088543,1088555
1088543,1088594
1088543,1088547
1088543,1088595
1088543,1088548
1088543,1088564
1088543,1088589
1088543,1088503
1088522,1088526
1088522,1088540
1088522,1088524
1088522,1088525
1088522,1088528
1088522,1088536
1088522,1088530
1088522,1088539
1088522,1088523
1088522,1088529
1088522,1088527
1088597,1088598
1088606,1088607
1088626,1088627
1088602,1088603
1088517,1088521
1088517,1088519
1088517,1088520
1088517,1088518
1088497,1088501
1088497,1088498
1088497,1088500
1088502,1088503
1088513,1088514
1088513,1088515
1088513,1088516
1088494,1088495
1088612,1088598
